Time,Body,Position
10368.0,Mercury,69819699804.28645
10368.0,Venus,108899996130.34315
10368.0,Earth,152099994944.9133
10368.0,Neptune,3007999999724.992
10368.0, Mars,249229989033.60352
10368.0,Saturn,1512999999806.5376
10368.0,Jupiter,816399999494.1127
10368.0,Uranus,4552999999995.58
21600.0,Mercury,69818697077.51477
21600.0,Venus,108899983204.99512
21600.0,Earth,152099978059.61526
21600.0,Neptune,3007999998806.39
21600.0, Mars,249229952402.80814
21600.0,Saturn,1512999999160.3196
21600.0,Jupiter,816399997804.3083
21600.0,Uranus,4552999999980.815
31968.0,Mercury,69817146096.73328
31968.0,Venus,108899963212.55579
31968.0,Earth,152099951941.92072
31968.0,Neptune,3007999997385.5176
31968.0, Mars,249229895743.14105
31968.0,Saturn,1512999998160.7637
31968.0,Jupiter,816399995190.557
31968.0,Uranus,4552999999957.979
43200.0,Mercury,69814788402.91643
43200.0,Venus,108899932821.17195
43200.0,Earth,152099912239.04614
43200.0,Neptune,3007999995225.5615
43200.0, Mars,249229809611.37527
43200.0,Saturn,1512999996641.2778
43200.0,Jupiter,816399991217.2335
43200.0,Uranus,4552999999923.263
53568.0,Mercury,69811986744.98999
53568.0,Venus,108899896706.64119
53568.0,Earth,152099865059.30618
53568.0,Neptune,3007999992658.823
53568.0, Mars,249229707258.59903
53568.0,Saturn,1512999994835.6287
53568.0,Jupiter,816399986495.6185
53568.0,Uranus,4552999999882.01
64800.0,Mercury,69808274248.23404
64800.0,Venus,108899848850.27328
64800.0,Earth,152099802539.7093
64800.0,Neptune,3007999989257.513
64800.0, Mars,249229571626.10812
64800.0,Saturn,1512999992442.875
64800.0,Jupiter,816399980238.7762
64800.0,Uranus,4552999999827.341
75168.0,Mercury,69804222108.24222
75168.0,Venus,108899796614.90298
75168.0,Earth,152099734298.93765
75168.0,Neptune,3007999985544.91
75168.0, Mars,249229423580.51428
75168.0,Saturn,1512999989831.1323
75168.0,Jupiter,816399973409.2981
75168.0,Uranus,4552999999767.67
86400.0,Mercury,69799155067.17453
86400.0,Venus,108899731295.21335
86400.0,Earth,152099648963.95963
86400.0,Neptune,3007999980902.2456
86400.0, Mars,249229238447.6847
86400.0,Saturn,1512999986565.1108
86400.0,Jupiter,816399964868.9376
86400.0,Uranus,4552999999693.051
97632.0,Mercury,69793383798.70538
97632.0,Venus,108899656895.77936
97632.0,Earth,152099551765.73328
97632.0,Neptune,3007999975614.0776
97632.0, Mars,249229027574.88278
97632.0,Saturn,1512999982844.9905
97632.0,Jupiter,816399955141.1481
97632.0,Uranus,4552999999608.058
108000.0,Mercury,69787431497.82445
108000.0,Venus,108899580160.70341
108000.0,Earth,152099451515.19385
108000.0,Neptune,3007999970159.759
108000.0, Mars,249228810077.06116
108000.0,Saturn,1512999979007.9866
108000.0,Jupiter,816399945107.7191
108000.0,Uranus,4552999999520.393
119232.0,Mercury,69780306259.83495
119232.0,Venus,108899488301.66228
119232.0,Earth,152099331504.54617
119232.0,Neptune,3007999963630.2363
119232.0, Mars,249228549704.77795
119232.0,Saturn,1512999974414.5984
119232.0,Jupiter,816399933096.4126
119232.0,Uranus,4552999999415.447
129600.0,Mercury,69773104356.67683
129600.0,Venus,108899395451.43587
129600.0,Earth,152099210197.50183
129600.0,Neptune,3007999957030.0522
129600.0, Mars,249228286515.4508
129600.0,Saturn,1512999969771.5015
129600.0,Jupiter,816399920955.1223
129600.0,Uranus,4552999999309.365
140832.0,Mercury,69764625647.43713
140832.0,Venus,108899286136.02917
140832.0,Earth,152099067376.97592
140832.0,Neptune,3007999949259.176
140832.0, Mars,249227976644.42792
140832.0,Saturn,1512999964304.8462
140832.0,Jupiter,816399906660.3
140832.0,Uranus,4552999999184.469
152064.0,Mercury,69755443363.86664
152064.0,Venus,108899167745.12941
152064.0,Earth,152098912696.53195
152064.0,Neptune,3007999940842.7954
152064.0, Mars,249227641034.40475
152064.0,Saturn,1512999958384.092
152064.0,Jupiter,816399891178.0502
152064.0,Uranus,4552999999049.196
163296.0,Mercury,69745557680.1805
163296.0,Venus,108899040279.88115
163296.0,Earth,152098746157.04712
163296.0,Neptune,3007999931780.9106
163296.0, Mars,249227279685.63974
163296.0,Saturn,1512999952009.239
163296.0,Jupiter,816399874508.3732
163296.0,Uranus,4552999998903.549
174528.0,Mercury,69734968784.19472
174528.0,Venus,108898903741.52292
174528.0,Earth,152098567759.46204
174528.0,Neptune,3007999922073.522
174528.0, Mars,249226892598.4113
174528.0,Saturn,1512999945180.2876
174528.0,Jupiter,816399856651.2692
174528.0,Uranus,4552999998747.527
184896.0,Mercury,69724570412.66098
184896.0,Venus,108898769653.83328
184896.0,Earth,152098392560.60535
184896.0,Neptune,3007999912539.9233
184896.0, Mars,249226512442.56683
184896.0,Saturn,1512999938473.5935
184896.0,Jupiter,816399839113.8597
184896.0,Uranus,4552999998594.299
200448.0,Mercury,69707850386.28423
200448.0,Venus,108898554036.00952
200448.0,Earth,152098110821.9354
200448.0,Neptune,3007999897208.246
200448.0, Mars,249225901089.48355
200448.0,Saturn,1512999927688.0693
200448.0,Jupiter,816399810910.6753
200448.0,Uranus,4552999998347.881
211680.0,Mercury,69694937022.68175
211680.0,Venus,108898387501.75362
211680.0,Earth,152097893209.8388
211680.0,Neptune,3007999885365.729
211680.0, Mars,249225428869.63962
211680.0,Saturn,1512999919357.099
211680.0,Jupiter,816399789125.9324
211680.0,Uranus,4552999998157.542
222048.0,Mercury,69682393660.86275
222048.0,Venus,108898225730.04819
222048.0,Earth,152097681816.29276
222048.0,Neptune,3007999873861.2417
222048.0, Mars,249224970130.83746
222048.0,Saturn,1512999911263.9268
222048.0,Jupiter,816399767963.0115
222048.0,Uranus,4552999997972.638
233280.0,Mercury,69668130050.81061
233280.0,Venus,108898041760.82628
233280.0,Earth,152097441410.31638
233280.0,Neptune,3007999860777.3696
233280.0, Mars,249224448417.02148
233280.0,Saturn,1512999902059.6904
233280.0,Jupiter,816399743894.76
233280.0,Uranus,4552999997762.348
243648.0,Mercury,69654340760.41003
243648.0,Venus,108897863898.37154
243648.0,Earth,152097208978.46387
243648.0,Neptune,3007999848127.017
243648.0, Mars,249223943992.1429
243648.0,Saturn,1512999893160.4265
243648.0,Jupiter,816399720623.9862
243648.0,Uranus,4552999997559.025
254880.0,Mercury,69638727916.81024
254880.0,Venus,108897662501.03284
254880.0,Earth,152096945783.4852
254880.0,Neptune,3007999833801.7915
254880.0, Mars,249223372785.84106
254880.0,Saturn,1512999883082.9246
254880.0,Jupiter,816399694272.2285
254880.0,Uranus,4552999997328.783
265248.0,Mercury,69623693678.94414
265248.0,Venus,108897468554.48904
265248.0,Earth,152096692318.0189
265248.0,Neptune,3007999820005.5737
265248.0, Mars,249222822676.32297
265248.0,Saturn,1512999873377.5693
265248.0,Jupiter,816399668893.604
265248.0,Uranus,4552999997107.044
276480.0,Mercury,69606732714.93282
276480.0,Venus,108897249736.61893
276480.0,Earth,152096406339.32556
276480.0,Neptune,3007999804438.994
276480.0, Mars,249222201979.1623
276480.0,Saturn,1512999862426.802
276480.0,Jupiter,816399640258.3425
276480.0,Uranus,4552999996856.851
287712.0,Mercury,69589071203.81984
287712.0,Venus,108897021863.64061
287712.0,Earth,152096108515.38315
287712.0,Neptune,3007999788226.91
287712.0, Mars,249221555547.4492
287712.0,Saturn,1512999851021.9368
287712.0,Jupiter,816399610435.6603
287712.0,Uranus,4552999996596.282
298944.0,Mercury,69570709488.35571
298944.0,Venus,108896784937.91585
298944.0,Earth,152095798847.78528
298944.0,Neptune,3007999771369.3223
298944.0, Mars,249220883381.68152
298944.0,Saturn,1512999839162.9739
298944.0,Jupiter,816399579425.5579
298944.0,Uranus,4552999996325.339
309312.0,Mercury,69553138993.19574
309312.0,Venus,108896558203.96074
309312.0,Earth,152095502489.9609
309312.0,Neptune,3007999755235.5396
309312.0, Mars,249220240080.50543
309312.0,Saturn,1512999827813.1934
309312.0,Jupiter,816399549746.9254
309312.0,Uranus,4552999996066.029
319680.0,Mercury,69534972465.32462
319680.0,Venus,108896323759.97728
319680.0,Earth,152095196043.13455
319680.0,Neptune,3007999738551.741
319680.0, Mars,249219574852.94174
319680.0,Saturn,1512999816076.49
319680.0,Jupiter,816399519056.528
319680.0,Uranus,4552999995797.88
330912.0,Mercury,69514619857.08618
330912.0,Venus,108896061081.39893
330912.0,Earth,152094852675.6462
330912.0,Neptune,3007999719856.9497
330912.0, Mars,249218829446.97934
330912.0,Saturn,1512999802925.0957
330912.0,Jupiter,816399484666.8497
330912.0,Uranus,4552999995497.408
341280.0,Mercury,69495212582.58371
341280.0,Venus,108895810582.33255
341280.0,Earth,152094525214.64502
341280.0,Neptune,3007999702027.286
341280.0, Mars,249218118540.8688
341280.0,Saturn,1512999790382.302
341280.0,Jupiter,816399451868.6107
341280.0,Uranus,4552999995210.842
351648.0,Mercury,69475210242.83607
351648.0,Venus,108895552379.9923
351648.0,Earth,152094187669.00873
351648.0,Neptune,3007999683647.6074
351648.0, Mars,249217385709.763
351648.0,Saturn,1512999777452.5857
351648.0,Jupiter,816399418058.609
351648.0,Uranus,4552999994915.434
362880.0,Mercury,69452869973.73933
362880.0,Venus,108895263971.1242
362880.0,Earth,152093810616.21518
362880.0,Neptune,3007999663115.6123
362880.0, Mars,249216567068.25632
362880.0,Saturn,1512999763008.7615
362880.0,Jupiter,816399380289.3618
362880.0,Uranus,4552999994585.435
374112.0,Mercury,69429832171.23521
374112.0,Venus,108894966528.15836
374112.0,Earth,152093421731.81143
374112.0,Neptune,3007999641938.1123
374112.0, Mars,249215722696.53717
374112.0,Saturn,1512999748110.8403
374112.0,Jupiter,816399341332.7003
374112.0,Uranus,4552999994245.061
384480.0,Mercury,69407947733.73198
384480.0,Venus,108894683949.30052
384480.0,Earth,152093052261.75998
384480.0,Neptune,3007999621816.719
384480.0, Mars,249214920439.5375
384480.0,Saturn,1512999733955.869
384480.0,Jupiter,816399304318.788
384480.0,Uranus,4552999993921.659
394848.0,Mercury,69385469702.72614
394848.0,Venus,108894393677.53937
394848.0,Earth,152092672713.5443
394848.0,Neptune,3007999601145.31
394848.0, Mars,249214096259.64124
394848.0,Saturn,1512999719413.9749
394848.0,Jupiter,816399266293.116
394848.0,Uranus,4552999993589.418
406080.0,Mercury,69360449155.8628
406080.0,Venus,108894070538.92671
406080.0,Earth,152092250165.4486
406080.0,Neptune,3007999578130.607
406080.0, Mars,249213178659.38803
406080.0,Saturn,1512999703223.6252
406080.0,Jupiter,816399223956.8962
406080.0,Uranus,4552999993219.516
417312.0,Mercury,69334732915.94246
417312.0,Venus,108893738379.2398
417312.0,Earth,152091815793.71326
417312.0,Neptune,3007999554470.3994
417312.0, Mars,249212235331.53183
417312.0,Saturn,1512999686579.1797
417312.0,Jupiter,816399180433.2662
417312.0,Uranus,4552999992839.237
428544.0,Mercury,69308321499.07144
428544.0,Venus,108893397202.14696
428544.0,Earth,152091369600.53223
428544.0,Neptune,3007999530164.688
428544.0, Mars,249211266276.79913
428544.0,Saturn,1512999669480.6382
428544.0,Jupiter,816399135722.2272
428544.0,Uranus,4552999992448.584
