Time,Body,Position
69120.0,Sun,1230.90385622685
69120.0,Mercury,69741726000.9182
69120.0,Venus,108914131007.58066
69120.0,Earth,152086078763.16922
69120.0, Mars,249255426232.28476
146880.0,Sun,4173.630510601202
146880.0,Mercury,69612784125.70348
146880.0,Venus,108879750527.46478
146880.0,Earth,152067958686.79593
146880.0, Mars,249247305596.45892
224640.0,Sun,8674.324698626708
224640.0,Mercury,69450353660.73177
224640.0,Venus,108844969323.78838
224640.0,Earth,152049278829.90326
224640.0, Mars,249237985632.01224
302400.0,Sun,14732.863701102564
302400.0,Mercury,69254588755.6739
302400.0,Venus,108809808623.47328
302400.0,Earth,152030043258.1427
302400.0, Mars,249227466686.14267
388800.0,Sun,23387.526259289476
388800.0,Mercury,68987955490.29755
388800.0,Venus,108766145081.11433
388800.0,Earth,152005882369.48984
388800.0, Mars,249213576266.1618
466560.0,Sun,32733.898397824436
466560.0,Mercury,68722589512.51215
466560.0,Venus,108730262553.3447
466560.0,Earth,151985489142.41977
466560.0, Mars,249200527625.53717
544320.0,Sun,43636.90430606304
544320.0,Mercury,68424620748.68694
544320.0,Venus,108694070759.71078
544320.0,Earth,151964554104.85397
544320.0, Mars,249186281397.04733
630720.0,Sun,57672.28919717529
630720.0,Mercury,68045217512.51644
630720.0,Venus,108649335985.18242
630720.0,Earth,151938519882.52597
630720.0, Mars,249168251107.4156
708480.0,Sun,71859.20173800351
708480.0,Mercury,67679668084.277626
708480.0,Venus,108612573137.38756
708480.0,Earth,151916457841.5602
708480.0, Mars,249151478603.57483
786240.0,Sun,87600.19270742475
786240.0,Mercury,67282688996.035255
786240.0,Venus,108575573449.73529
786240.0,Earth,151893869069.87808
786240.0, Mars,249133510335.11603
864000.0,Sun,104894.13241352487
864000.0,Mercury,66854768169.82406
864000.0,Venus,108538359768.28911
864000.0,Earth,151870758508.6711
864000.0, Mars,249114346969.84515
941760.0,Sun,123739.7378496149
941760.0,Mercury,66396458693.84943
941760.0,Venus,108500955110.51897
941760.0,Earth,151847131216.35565
941760.0, Mars,249093989220.05847
1019520.0,Sun,144135.56781623344
1019520.0,Mercury,65908385485.656944
1019520.0,Venus,108463382652.35875
1019520.0,Earth,151822992367.57947
1019520.0, Mars,249072437842.57364
1097280.0,Sun,166080.01742963924
1097280.0,Mercury,65391252758.28134
1097280.0,Venus,108425665715.0661
1097280.0,Earth,151798347252.22006
1097280.0, Mars,249049693638.76364
1175040.0,Sun,189571.3119561149
1175040.0,Mercury,64845852350.145775
1175040.0,Venus,108387827751.88249
1175040.0,Earth,151773201274.37683
1175040.0, Mars,249025757454.59348
1252800.0,Sun,214607.49990840562
1252800.0,Mercury,64273072979.59792
1252800.0,Venus,108349892334.49237
1252800.0,Earth,151747559951.35815
