Time,Body,Position
77760.0,Mercury,69803159611.1993
77760.0,Venus,108940780980.99937
77760.0,Earth,152099716621.08734
77760.0,Neptune,4558857599778.045
77760.0, Mars,249260400079.90985
77760.0,Saturn,1506526990131.6367
77760.0,Jupiter,816362971519.4974
77760.0,Uranus,3001389997780.0444
155520.0,Mercury,69752653847.1838
155520.0,Venus,108940124052.68349
155520.0,Earth,152098866546.6115
155520.0,Neptune,4558857599112.181
155520.0, Mars,249258600341.93396
155520.0,Saturn,1506526960526.552
155520.0,Jupiter,816362886078.0249
155520.0,Uranus,3001389991120.177
233280.0,Mercury,69668529106.25372
233280.0,Venus,108939029601.06902
233280.0,Earth,152097449963.3307
233280.0,Neptune,4558857598002.407
233280.0, Mars,249255600852.95663
233280.0,Saturn,1506526911184.762
233280.0,Jupiter,816362743675.686
233280.0,Uranus,3001389980020.3984
311040.0,Mercury,69550863358.2267
311040.0,Venus,108937498269.37909
311040.0,Earth,152095467182.41464
311040.0,Neptune,4558857596448.725
311040.0, Mars,249251401724.4537
311040.0,Saturn,1506526842106.2944
311040.0,Jupiter,816362544312.6543
311040.0,Uranus,3001389964480.71
388800.0,Mercury,69399767111.07355
388800.0,Venus,108935530957.83531
388800.0,Earth,152092918639.3062
388800.0,Neptune,4558857594451.133
388800.0, Mars,249246003112.4955
388800.0,Saturn,1506526753291.1875
388800.0,Jupiter,816362287989.1727
388800.0,Uranus,3001389944501.1133
466560.0,Mercury,69215384779.58292
466560.0,Venus,108933128823.36436
466560.0,Earth,152089804893.5308
466560.0,Neptune,4558857592009.633
466560.0, Mars,249239405217.7511
466560.0,Saturn,1506526644739.4897
466560.0,Jupiter,816361974705.5531
466560.0,Uranus,3001389920081.61
544320.0,Mercury,68997896471.55487
544320.0,Venus,108930293279.21684
544320.0,Earth,152086126628.45834
544320.0,Neptune,4558857589124.224
544320.0, Mars,249231608285.4939
544320.0,Saturn,1506526516451.2617
544320.0,Jupiter,816361604462.1771
544320.0,Uranus,3001389891222.202
630720.0,Mercury,68717745120.82341
630720.0,Venus,108926638074.2216
630720.0,Earth,152081378925.0267
630720.0,Neptune,4558857585397.581
630720.0, Mars,249221539164.18832
630720.0,Saturn,1506526350761.0945
630720.0,Jupiter,816361126276.6604
630720.0,Uranus,3001389853948.902
708480.0,Mercury,68431149867.79108
708480.0,Venus,108922896049.79395
708480.0,Earth,152076512198.13843
708480.0,Neptune,4558857581575.034
708480.0, Mars,249211211973.60507
708480.0,Saturn,1506526180807.1086
708480.0,Jupiter,816360635786.5807
708480.0,Uranus,3001389815716.372
786240.0,Mercury,68112264069.040054
786240.0,Venus,108918726643.30533
786240.0,Earth,152071083866.51236
786240.0,Neptune,4558857577308.58
786240.0, Mars,249199686793.91205
786240.0,Saturn,1506525991116.8489
786240.0,Jupiter,816360088338.3746
786240.0,Uranus,3001389773043.9478
864000.0,Mercury,67761443124.341576
864000.0,Venus,108914132314.10309
864000.0,Earth,152065095119.1952
864000.0,Neptune,4558857572598.22
864000.0, Mars,249186964053.84653
864000.0,Saturn,1506525781690.4202
864000.0,Jupiter,816359483932.7084
864000.0,Uranus,3001389725931.6333
941760.0,Mercury,67379094698.5986
941760.0,Venus,108909115774.38243
941760.0,Earth,152058547267.2865
941760.0,Neptune,4558857567443.953
941760.0, Mars,249173044226.80368
941760.0,Saturn,1506525552527.9375
941760.0,Jupiter,816358822570.3175
941760.0,Uranus,3001389674379.4316
1019520.0,Mercury,66965683672.12739
1019520.0,Venus,108903679988.16519
1019520.0,Earth,152051441743.51242
1019520.0,Neptune,4558857561845.782
1019520.0, Mars,249157927830.85278
1019520.0,Saturn,1506525303629.528
1019520.0,Jupiter,816358104252.0067
1019520.0,Uranus,3001389618387.349
1097280.0,Mercury,66521737754.94111
1097280.0,Venus,108897828170.1508
1097280.0,Earth,152043780101.78482
1097280.0,Neptune,4558857555803.708
1097280.0, Mars,249141615428.7559
1097280.0,Saturn,1506525034995.3289
1097280.0,Jupiter,816357328978.6501
1097280.0,Uranus,3001389557955.39
1183680.0,Mercury,65993506876.164215
1183680.0,Venus,108890844279.45578
1183680.0,Earth,152034617412.21683
1183680.0,Neptune,4558857548569.663
1183680.0, Mars,249122088654.32574
1183680.0,Saturn,1506524713366.1582
1183680.0,Jupiter,816356400765.997
1183680.0,Uranus,3001389485601.5137
1261440.0,Mercury,65487174085.88031
1261440.0,Venus,108884128559.05136
1261440.0,Earth,152025787891.6996
1261440.0,Neptune,4558857541590.459
1261440.0, Mars,249103253436.63455
1261440.0,Saturn,1506524403068.02
1261440.0,Jupiter,816355505257.4977
1261440.0,Uranus,3001389415796.5015
1339200.0,Mercury,64952423245.765625
1339200.0,Venus,108877008393.66257
1339200.0,Earth,152016407857.45337
1339200.0,Neptune,4558857534167.354
1339200.0, Mars,249083224249.66034
1339200.0,Saturn,1506524073034.59
1339200.0,Jupiter,816354552797.1134
1339200.0,Uranus,3001389341551.6323
1416960.0,Mercury,64390115606.29988
1416960.0,Venus,108869488011.86092
