Time,Body,Position
34560.0,Sun,25.643902360922375
34560.0,Mercury,69830206069.53983
34560.0,Venus,108946518260.20154
34560.0,Earth,152102797609.80066
34560.0,Neptune,4558857603140.649
34560.0, Mars,249261943943.47598
34560.0,Saturn,1506527027271.468
34560.0,Jupiter,816363093401.8749
34560.0,Uranus,3001390006910.898
77760.0,Sun,458.375617450686
77760.0,Mercury,69836958113.95856
77760.0,Venus,108954679915.07542
77760.0,Earth,152106849679.87863
77760.0,Neptune,4558857607739.276
77760.0, Mars,249263056127.1459
77760.0,Saturn,1506527063183.5642
77760.0,Jupiter,816363219088.4362
77760.0,Uranus,3001390016153.5635
120960.0,Sun,1371.9006047570788
120960.0,Mercury,69833263511.59523
120960.0,Venus,108962697105.33907
120960.0,Earth,152110725117.85886
120960.0,Neptune,4558857612200.894
120960.0, Mars,249263797870.3175
120960.0,Saturn,1506527093004.0618
120960.0,Jupiter,816363327194.0844
120960.0,Uranus,3001390024025.8857
159840.0,Sun,2605.1102541904247
159840.0,Mercury,69821026613.39474
159840.0,Venus,108969789033.91284
159840.0,Earth,152114062014.9113
159840.0,Neptune,4558857616099.208
159840.0, Mars,249264148730.79904
159840.0,Saturn,1506527114634.1953
159840.0,Jupiter,816363409457.5107
159840.0,Uranus,3001390029939.332
203040.0,Sun,4432.003345863732
203040.0,Mercury,69797542580.08392
203040.0,Venus,108977530415.7951
203040.0,Earth,152117601703.07028
203040.0,Neptune,4558857620300.508
203040.0, Mars,249264186682.39978
203040.0,Saturn,1506527132880.6616
203040.0,Jupiter,816363484159.4551
203040.0,Uranus,3001390035208.001
241920.0,Sun,6487.148386190782
241920.0,Mercury,69767521343.52516
241920.0,Venus,108984371799.87297
241920.0,Earth,152120636061.1874
241920.0,Neptune,4558857623964.536
241920.0, Mars,249263904140.1108
241920.0,Saturn,1506527144094.1687
241920.0,Jupiter,816363536359.5105
241920.0,Uranus,3001390038778.159
285120.0,Sun,9227.177473699878
285120.0,Mercury,69724310655.70068
285120.0,Venus,108991832270.75339
285120.0,Earth,152123839210.55106
285120.0,Neptune,4558857627905.519
285120.0, Mars,249263238328.59775
285120.0,Saturn,1506527150766.6099
285120.0,Jupiter,816363577657.6783
285120.0,Uranus,3001390041443.1763
328320.0,Sun,12447.684409066242
328320.0,Mercury,69670752102.58939
328320.0,Venus,108999142865.48703
328320.0,Earth,152126864939.86017
328320.0,Neptune,4558857631709.494
328320.0, Mars,249262202138.17212
328320.0,Saturn,1506527151347.4634
328320.0,Jupiter,816363601374.8972
328320.0,Uranus,3001390042737.8496
367200.0,Sun,15756.867182251652
367200.0,Mercury,69613721360.47824
367200.0,Venus,109005593168.81502
367200.0,Earth,152129436250.48682
367200.0,Neptune,4558857635015.928
367200.0, Mars,249260952907.95978
367200.0,Saturn,1506527146661.9277
367200.0,Jupiter,816363607688.6798
367200.0,Uranus,3001390042731.412
