Time,Body,Position
77760.0,Mercury,69803114423.8262
77760.0,Venus,108940775749.64284
77760.0,Earth,152099715641.21042
77760.0,Neptune,4558857599778.045
77760.0, Mars,249260399999.07175
77760.0,Saturn,1506526990131.6265
77760.0,Jupiter,816362971519.2799
77760.0,Uranus,3001389997780.044
172800.0,Mercury,69736639254.00635
172800.0,Venus,108939892798.69829
172800.0,Earth,152098595865.3039
172800.0,Neptune,4558857598903.927
172800.0, Mars,249258037068.90604
172800.0,Saturn,1506526951267.296
172800.0,Jupiter,816362859354.5273
172800.0,Uranus,3001389989037.2544
259200.0,Mercury,69632526222.73677
259200.0,Venus,108938509538.98305
259200.0,Earth,152096841062.31488
259200.0,Neptune,4558857597533.836
259200.0, Mars,249254333532.98297
259200.0,Saturn,1506526890351.4348
259200.0,Jupiter,816362683547.8901
259200.0,Uranus,3001389975333.8237
345600.0,Mercury,69486933397.73145
345600.0,Venus,108936574370.39488
345600.0,Earth,152094385013.6922
345600.0,Neptune,4558857595615.708
345600.0, Mars,249249148821.1594
345600.0,Saturn,1506526805069.274
345600.0,Jupiter,816362437418.9741
345600.0,Uranus,3001389956149.024
432000.0,Mercury,69300029256.46022
432000.0,Venus,108934088691.86891
432000.0,Earth,152091228390.4382
432000.0,Neptune,4558857593149.545
432000.0, Mars,249242483171.6737
432000.0,Saturn,1506526695420.8625
432000.0,Jupiter,816362120968.1527
432000.0,Uranus,3001389931482.8564
518400.0,Mercury,69072034830.99757
518400.0,Venus,108931054302.9475
518400.0,Earth,152087372052.7145
518400.0,Neptune,4558857590135.348
518400.0, Mars,249234336890.73505
518400.0,Saturn,1506526561406.2668
518400.0,Jupiter,816361734195.9054
518400.0,Uranus,3001389901335.3257
604800.0,Mercury,68803227103.31834
604800.0,Venus,108927473403.0932
604800.0,Earth,152082817049.3489
604800.0,Neptune,4558857586573.113
604800.0, Mars,249224710352.5316
604800.0,Saturn,1506526403025.57
604800.0,Jupiter,816361277102.8165
604800.0,Uranus,3001389865706.4346
699840.0,Mercury,68460803585.19255
699840.0,Venus,108922906305.61804
699840.0,Earth,152077001072.2625
699840.0,Neptune,4558857582021.677
699840.0, Mars,249212411993.42413
699840.0,Saturn,1506526200664.075
699840.0,Jupiter,816360693080.6765
699840.0,Uranus,3001389820183.6885
794880.0,Mercury,68069945856.04016
794880.0,Venus,108917685093.22394
794880.0,Earth,152070343123.3847
794880.0,Neptune,4558857576807.119
794880.0, Mars,249198323743.43884
794880.0,Saturn,1506525968819.8684
